10T|Oshkosh
1J8|AM.MOT.COR.-AMC(USA)
1J8|CHRYSLER(CDN)
1J8|CHRYSLER(USA)
1J8|DAIMLERCHRYSLER(USA)
1J8|Jeep
1J8|JEEPEAGLE(USA)
1JC|AM.MOT.COR.-AMC(CDN)
1JC|AM.MOT.COR.-AMC(USA)
1JC|AMC
1JC|CHRYSLER(CDN)
1JC|DAIMLERCHRYSLER(USA)
1JC|JEEPEAGLE(USA)
1JD|AM.MOT.COR.-AMC(CDN)
1JD|AM.MOT.COR.-AMC(USA)
1JD|AMC
1JD|CHRYSLER(CDN)
1JD|DAIMLERCHRYSLER(USA)
1JD|JEEPEAGLE(USA)
1JE|AM.MOT.COR.-AMC(CDN)
1JE|AM.MOT.COR.-AMC(USA)
1JE|CHRYSLER(CDN)
1JE|DAIMLERCHRYSLER(USA)
1JE|Jeep
1JE|JEEPEAGLE(USA)
1JF|AM.MOT.COR.-AMC(CDN)
1JF|AM.MOT.COR.-AMC(USA)
1JF|CHRYSLER(CDN)
1JF|DAIMLERCHRYSLER(USA)
1JF|Jeep
1JF|JEEPEAGLE(USA)
1JH|AM.MOT.COR.-AMC(CDN)
1JH|AM.MOT.COR.-AMC(USA)
1JH|CHRYSLER(CDN)
1JH|DAIMLERCHRYSLER(USA)
1JH|Jeep
1JH|JEEPEAGLE(USA)
1JM|AM.MOT.COR.-AMC(CDN)
1JM|AM.MOT.COR.-AMC(USA)
1JM|CHRYSLER(CDN)
1JM|DAIMLERCHRYSLER(USA)
1JM|Jeep
1JM|JEEPEAGLE(USA)
1JT|AM.MOT.COR.-AMC(CDN)
1JT|AM.MOT.COR.-AMC(USA)
1JT|AMC
1JT|CHRYSLER(CDN)
1JT|DAIMLERCHRYSLER(USA)
1JT|JEEPEAGLE(USA)
1L |Lincoln USA
1L1|FORD(USA)
1L1|Lincoln
1LJ|FORD(USA)
1LN|FORD(USA)
1LN|Lincoln
1M1|Mack
1M1|Mack Truck USA
1M1|MACK.TRUCKS(USA)
1M2|Mack
1M2|Mack Truck USA
1M2|MACK.TRUCKS(USA)
1M3|Mack
1M3|Mack Truck USA
1M3|MACK.TRUCKS(USA)
1M4|Mack Truck USA
1M4|MACK.TRUCKS(USA)
1M8|MCI
1M9|Mynatt Truck & Equipment
1MB|Mercedes-Benz
1ME|FORD(USA)
1ME|Mercury
1ME|Mercury USA
1MH|FORD(USA)
1ML|MILLER(USA)
1MR|FORD(USA)
1MR|Lincoln
1N |Nissan USA
1N4|Nissan
1N6|Datsun
1N9|Neoplan
1NJ|FORD(USA)
1NK|Kenworth
1NP|Peterbilt
1NX|NUMMI USA
1NX|Toyota
1P2|AM.MOT.COR.-AMC(CDN)
1P2|AM.MOT.COR.-AMC(USA)
1P2|CHRYSLER(CDN)
1P2|CHRYSLER(USA)
1P2|DAIMLERCHRYSLER(USA)
1P2|JEEPEAGLE(USA)
1P3|AM.MOT.COR.-AMC(CDN)
1P3|AM.MOT.COR.-AMC(USA)
1P3|CHRYSLER(CDN)
1P3|CHRYSLER(USA)
1P3|DAIMLERCHRYSLER(USA)
1P3|JEEPEAGLE(USA)
1P3|Plymouth
1P3|Plymouth USA
1P4|AM.MOT.COR.-AMC(CDN)
1P4|AM.MOT.COR.-AMC(USA)
1P4|CHRYSLER(CDN)
1P4|CHRYSLER(USA)
1P4|DAIMLERCHRYSLER(USA)
1P4|JEEPEAGLE(USA)
1P4|Plymouth
1P5|AM.MOT.COR.-AMC(CDN)
1P5|AM.MOT.COR.-AMC(USA)
1P5|CHRYSLER(CDN)
1P5|CHRYSLER(USA)
1P5|DAIMLERCHRYSLER(USA)
1P5|JEEPEAGLE(USA)
1P6|AM.MOT.COR.-AMC(CDN)
1P6|AM.MOT.COR.-AMC(USA)
1P6|CHRYSLER(CDN)
1P6|CHRYSLER(USA)
1P6|DAIMLERCHRYSLER(USA)
1P6|JEEPEAGLE(USA)
1P7|AM.MOT.COR.-AMC(CDN)
1P7|AM.MOT.COR.-AMC(USA)
1P7|CHRYSLER(CDN)
1P7|CHRYSLER(USA)
1P7|DAIMLERCHRYSLER(USA)
1P7|JEEPEAGLE(USA)
1P7|Plymouth
1P8|AM.MOT.COR.-AMC(CDN)
1P8|AM.MOT.COR.-AMC(USA)
1P8|CHRYSLER(CDN)
1P8|CHRYSLER(USA)
1P8|DAIMLERCHRYSLER(USA)
1P8|JEEPEAGLE(USA)
1P9|Panoz
1R9|Roadrunner Hay Squeeze USA
1RF|Roadmaster
1S1|STRICK&CO(USA)
1S2|STRICK&CO(USA)
1S3|STRICK&CO(USA)
1S9|Saleen
1S9|STEWART(USA)
1T8|Thomas
1TA|THEURER(USA)
1TU|TMC
1UC|AM.MOT.COR.-AMC(USA)
1UD|AM.MOT.COR.-AMC(USA)
1UE|AM.MOT.COR.-AMC(USA)
1UH|AM.MOT.COR.-AMC(USA)
1UM|AM.MOT.COR.-AMC(USA)
1UT|AM.MOT.COR.-AMC(USA)
1V1|Volkswagen
1V1|VOLKSWAGEN-VW(BR)
1V1|VOLKSWAGEN-VWOA(USA)
1V2|VOLKSWAGEN-VW(BR)
1V2|VOLKSWAGEN-VWOA(USA)
1V3|VOLKSWAGEN-VW(BR)
1V3|VOLKSWAGEN-VWOA(USA)
1VW|Volkswagen
1VW|Volkswagen USA
1VW|VOLKSWAGEN-VW(BR)
1VW|VOLKSWAGEN-VWOA(USA)
